#	 N_BLOCK:	ACCEPTANCE:
           1   0.0037712
           2   0.0041986
           3  0.00437773
           4   0.0041901
           5  0.00423896
           6   0.0043428
           7  0.00443269
           8   0.0044579
           9  0.00437724
          10  0.00431052
          11  0.00434942
          12  0.00425037
          13  0.00420465
          14  0.00418229
          15  0.00416608
          16   0.0041813
          17  0.00418494
          18  0.00417289
          19  0.00412634
          20  0.00413138
          21   0.0041552
          22  0.00419778
          23  0.00416727
          24  0.00418051
          25  0.00419062
          26  0.00417108
          27  0.00418747
          28  0.00420906
          29  0.00421695
          30  0.00424069
          31   0.0042573
          32  0.00424899
          33  0.00426325
          34    0.004255
          35  0.00424094
          36  0.00423687
          37  0.00423321
          38  0.00424326
          39  0.00426763
          40  0.00425112
          41  0.00424943
          42  0.00424098
          43   0.0042529
          44  0.00424307
          45  0.00422908
          46  0.00422765
          47  0.00421825
          48  0.00423068
          49  0.00424152
          50  0.00425574
