#	 N_BLOCK:	ACCEPTANCE:
           1    0.654093
           2    0.654115
           3    0.654131
           4    0.654057
           5    0.653992
           6    0.654068
           7    0.654039
           8    0.654035
           9    0.653982
          10    0.654036
          11    0.654046
          12    0.654027
          13    0.654041
          14    0.654034
          15    0.654044
          16    0.654053
          17    0.654074
          18    0.654077
          19    0.654082
          20    0.654065
          21    0.654057
          22    0.654087
          23    0.654079
          24    0.654057
          25    0.654043
          26    0.654031
          27    0.654038
          28    0.654047
          29    0.654047
          30    0.654043
          31     0.65404
          32    0.654053
          33    0.654056
          34    0.654056
          35    0.654057
          36    0.654062
          37    0.654042
          38    0.654039
          39    0.654048
          40    0.654067
          41    0.654073
          42    0.654066
          43    0.654059
          44    0.654047
          45    0.654048
          46    0.654049
          47    0.654066
          48    0.654071
          49    0.654077
          50    0.654081
