#   BLOCKS :		AVE :		 ERROR :
           1       0.0849737               0
           2       0.0840202     0.000953467
           3        0.083474     0.000775475
           4       0.0835357     0.000551804
           5       0.0834814     0.000430867
           6       0.0832459     0.000423323
           7       0.0831932     0.000361635
           8        0.083375     0.000362117
           9       0.0833429      0.00032096
          10        0.083299     0.000290411
          11       0.0832461     0.000267957
          12       0.0832554     0.000244784
          13       0.0831703     0.000240716
          14       0.0832432     0.000234479
          15       0.0832822     0.000221754
          16       0.0833309     0.000213073
          17       0.0833752     0.000204985
          18       0.0833492     0.000195001
          19       0.0833847     0.000187835
          20       0.0833762     0.000178395
          21       0.0834175     0.000174645
          22       0.0834586     0.000171508
          23       0.0833532     0.000194867
          24       0.0833321     0.000187753
          25        0.083309     0.000181574
          26       0.0832902     0.000175452
          27       0.0832554     0.000172394
          28       0.0832343     0.000167448
          29       0.0832494     0.000162273
          30       0.0832505     0.000156774
          31       0.0832834     0.000155171
          32       0.0832796     0.000150292
          33       0.0832932     0.000146305
          34       0.0832702     0.000143788
          35       0.0832974     0.000142241
          36       0.0833488     0.000147479
          37       0.0833868     0.000148367
          38       0.0833849     0.000144423
          39       0.0833787     0.000140805
          40       0.0833656     0.000137868
          41       0.0833722     0.000134626
          42       0.0833889     0.000132442
          43       0.0833685     0.000130926
          44       0.0833756     0.000128115
          45       0.0833758     0.000125235
          46        0.083397     0.000124293
          47       0.0834223     0.000124223
          48        0.083408     0.000122441
          49       0.0834002      0.00012017
          50       0.0833832     0.000118964
          51       0.0833783     0.000116711
          52       0.0833758     0.000114472
          53       0.0833964     0.000114161
          54       0.0833812     0.000113057
          55       0.0833754      0.00011113
          56       0.0833697     0.000109277
          57       0.0833821     0.000108053
          58         0.08339      0.00010647
          59       0.0833974      0.00010491
          60       0.0834002     0.000103184
          61       0.0833791     0.000103636
          62       0.0833762     0.000101992
          63        0.083373     0.000100412
          64       0.0833697     9.88851e-05
          65       0.0833832     9.82842e-05
          66       0.0834041       9.902e-05
          67       0.0834055     9.75397e-05
          68         0.08342      9.7187e-05
          69       0.0834232     9.58205e-05
          70       0.0834403     9.59928e-05
          71        0.083433     9.49136e-05
          72        0.083438     9.37175e-05
          73       0.0834425     9.25371e-05
          74       0.0834544     9.20465e-05
          75       0.0834613      9.1073e-05
          76       0.0834633     8.98877e-05
          77       0.0834753      8.9532e-05
          78       0.0834779     8.84149e-05
          79         0.08347     8.76498e-05
          80       0.0834576     8.74315e-05
          81       0.0834595     8.63662e-05
          82       0.0834447     8.65857e-05
          83       0.0834496     8.56767e-05
          84       0.0834447     8.47922e-05
          85       0.0834371     8.41316e-05
          86       0.0834372     8.31476e-05
          87       0.0834239     8.32466e-05
          88       0.0834329       8.278e-05
          89       0.0834422     8.23732e-05
          90       0.0834373     8.16002e-05
          91       0.0834243     8.17432e-05
          92       0.0834254     8.08576e-05
          93       0.0834314     8.02115e-05
          94        0.083434     7.93943e-05
          95       0.0834305     7.86316e-05
          96       0.0834198     7.85337e-05
          97        0.083425     7.78959e-05
          98        0.083407     7.91734e-05
          99       0.0834011     7.85968e-05
         100       0.0834035     7.78436e-05
